cycle,TS1_mean,TS1_max,TS1_std,TS2_mean,TS2_max,TS2_std,TS3_mean,TS3_max,TS3_std,TS4_mean,TS4_max,TS4_std
0,35.62198333333334,36.152,0.3082298554412129,40.97876666666664,41.25,0.15430174781424608,38.471016666666664,38.613,0.08465893520907608,31.745250000000006,33.594,1.1164783712145214
1,36.676966666666665,37.488,0.5857401797658159,41.53276666666667,42.105,0.33823446720028405,38.97896666666667,39.254,0.1769205477777774,34.49386666666666,35.148,0.43531249117358356
2,37.88080000000001,38.621,0.559169080884261,42.44245000000001,43.039,0.39058823196449827,39.63194999999999,40.062,0.2511332568814099,35.64615,36.141,0.29388922304795156
3,38.879049999999985,39.473,0.5161757493696195,43.40398333333333,43.988,0.39847576076959057,40.403383333333345,40.934,0.2854337817871432,36.579466666666654,36.988,0.26239674105734295
4,39.80391666666669,40.391,0.5353736630051458,44.332750000000004,44.887,0.37276891669536666,41.310550000000006,41.777,0.2935792807195303,37.427899999999994,37.781,0.23957056920063982
5,40.65944999999999,41.227,0.5104791177521536,45.17061666666665,45.687,0.36996967771613154,42.12411666666665,42.609,0.2663306274301633,38.21206666666665,38.586,0.2129950159890089
6,41.46363333333333,42.062,0.5104826883854562,45.94723333333334,46.457,0.3421609476902551,42.88811666666665,43.203,0.20194965740078374,38.93209999999999,39.242,0.19430691256665655
7,42.215266666666665,42.734,0.4825752199790752,46.66523333333335,47.117,0.32350843473491164,43.51988333333331,43.875,0.159287937946165,39.55896666666667,39.828,0.17140041004901857
8,42.89198333333331,43.41,0.45551369741323255,47.339433333333325,47.789,0.31305191894444984,44.201249999999966,44.457,0.17751052726003494,40.08053333333334,40.402,0.17870138586685438
9,43.532833333333336,44.012,0.4566669285330603,47.98141666666667,48.422,0.31789638497774786,44.79713333333333,45.129,0.17485271929920795,40.612549999999985,40.918,0.1664479788432921
10,44.106116666666644,44.582,0.42895099051043906,48.58626666666667,48.984,0.28474900435335376,45.36508333333331,45.668,0.147712305314226,41.10019999999997,41.336,0.156062547217671
11,44.63849999999999,45.09,0.4063194243157361,49.114216666666636,49.508,0.28019848241563106,45.92148333333333,46.141,0.1280727404101211,41.56785000000001,41.82,0.15730740982687574
12,45.1596,45.605,0.3898075231248702,49.60216666666667,49.969,0.26032692397182655,46.391066666666674,46.641,0.13471047002539632,42.03833333333331,42.25,0.13595870094106466
13,45.628733333333315,46.082,0.40014352792198576,50.06426666666666,50.41,0.2521735255843677,46.86816666666667,47.074,0.129018874807127,42.43971666666667,42.648,0.12550630906778795
14,46.059183333333344,46.434,0.36156174856115336,50.50908333333333,50.836,0.26411754520216163,47.318266666666666,47.512,0.12758112961080237,42.79893333333334,43.043,0.13151488498170627
15,46.46225000000001,46.867,0.3614676123053939,50.91523333333334,51.227,0.23267540252001925,47.70863333333333,47.832,0.10215424805401069,43.15196666666667,43.312,0.11587002751719737
16,46.839566666666656,47.246,0.3691969005997066,51.29886666666664,51.594,0.24252076386147814,48.06265,48.238,0.12125387640142818,43.44553333333334,43.574,0.09468493099850725
17,47.152183333333326,47.531,0.34624476948465277,51.653199999999984,51.945,0.23506881790773942,48.44433333333333,48.586,0.10173472761186214,43.732033333333305,43.98,0.12637031493659934
